Sample.Label,species,object_id,distance_cat,Urban,Coniferous,Broadleaf,MountainHeathBog,Freshwater
128,B,270,55,0,41,10,40,0
130,B,275,25,0,0,0,39,0
133,B,280,15,0,0,0,0,2
137,B,288,5,0,0,0,100,0
137,B,289,15,0,0,0,100,0
137,B,290,15,0,0,0,100,0
138,B,292,5,1,0,0,14,22
139,B,293,25,0,34,41,1,1
139,B,295,55,0,34,41,1,1
139,B,297,95,0,34,41,1,1
139,B,298,45,0,34,41,1,1
139,B,299,15,0,34,41,1,1
144,B,308,25,0,11,6,0,0
146,B,310,5,0,0,0,93,7
147,B,311,35,0,0,0,100,0
148,B,313,35,1,0,2,3,0
150,B,316,35,1,0,2,0,0
150,B,317,55,1,0,2,0,0
154,B,323,5,0,0,0,100,0
158,B,328,45,0,17,38,0,0
159,B,329,45,0,100,0,0,0
159,B,332,85,0,100,0,0,0
159,B,333,125,0,100,0,0,0
159,B,334,55,0,100,0,0,0
162,B,338,25,0,63,19,0,0
162,B,339,5,0,63,19,0,0
162,B,340,45,0,63,19,0,0
162,B,341,85,0,63,19,0,0
168,B,350,105,0,81,6,0,0
168,B,352,45,0,81,6,0,0
168,B,353,95,0,81,6,0,0
168,B,356,55,0,81,6,0,0
168,B,357,35,0,81,6,0,0
168,B,359,35,0,81,6,0,0
169,B,362,45,0,12,11,51,0
169,B,363,15,0,12,11,51,0
170,B,364,5,0,31,27,0,0
171,B,368,15,0,0,0,26,0
176,B,376,5,0,0,0,35,0
177,B,378,65,1,2,4,0,0
178,B,381,45,1,0,25,0,5
178,B,383,5,1,0,25,0,5
179,B,386,15,0,0,0,99,1
182,B,388,105,0,97,0,2,0
182,B,391,5,0,97,0,2,0
182,B,394,25,0,97,0,2,0
183,B,395,35,0,49,0,39,0
183,B,396,15,0,49,0,39,0
183,B,399,45,0,49,0,39,0
184,B,401,5,0,0,1,0,0
187,B,408,25,0,70,0,7,0
187,B,409,15,0,70,0,7,0
187,B,410,125,0,70,0,7,0
188,B,412,25,0,70,0,0,0
188,B,414,125,0,70,0,0,0
188,B,415,85,0,70,0,0,0
190,B,418,95,0,0,0,100,0
190,B,419,15,0,0,0,100,0
191,B,420,45,2,0,1,0,0
196,B,429,15,0,0,0,100,0
197,B,432,75,2,0,0,0,0
200,B,437,5,38,0,32,0,0
200,B,439,55,38,0,32,0,0
201,B,441,45,0,0,0,13,0
205,B,447,5,0,28,0,68,0
205,B,448,5,0,28,0,68,0
207,B,452,15,1,0,1,0,0
209,B,454,25,3,0,6,1,0
210,B,457,5,1,27,0,38,2
212,B,461,35,1,0,1,0,0
213,B,463,5,0,0,0,0,0
215,B,468,15,0,0,0,100,0
218,B,476,85,0,0,0,88,0
